lengow_setting.export_setting|Exporteinstellungen
lengow_setting.export_simple_setting|Einfache Exporteinstellungen
lengow_setting.export_selection_enable_label|Nur ausgewählte Produkte exportieren
lengow_setting.export_out_stock_label|Nicht lieferbare Produkte exportieren
lengow_setting.export_product_type_label|Produkttyp für den Export
lengow_setting.export_inactive_enable_label|Deaktivierte Produkte exportieren
lengow_setting.export_advanced_setting|Erweiterte Exporteinstellungen
lengow_setting.export_attribute_label|Attribute für den Export auswählen
lengow_setting.export_parent_image_label|Images mit Parentprodukten zusammenführen
lengow_setting.export_parent_attribute_label|Wählen Sie die Attribute aus, die aus den übergeordneten Produkten für die untergeordneten Produkte exportiert werden sollen.
lengow_setting.export_parent_attribute_comment|Wählen Sie ein Attribut aus dem übergeordneten Produkt, das dem untergeordneten Produkt zugeordnet werden soll
lengow_setting.export_default_shipping_country_label|Länderversand
lengow_setting.export_default_shipping_country_comment|Land per default für Versandkosten
lengow_setting.export_default_shipping_method_label|Versandart
lengow_setting.export_default_shipping_method_comment|Versandart per default für die Berechnung der Versandkosten
lengow_setting.export_default_shipping_price_label|Versandkosten
lengow_setting.export_default_shipping_price_comment|Versandkosten per default wenn Übereinstimmung gefunden
lengow_setting.export_file_enable_label|Feed auf Datei sichern
lengow_setting.export_file_enable_comment|Feed auf Datei sichern
lengow_setting.export_cron_enable_lable|Magentocron aktivieren
lengow_setting.export_cron_enable_comment|Geplante tasks aktivieren, um Ihren Feed alle 4 Stunden zu exportieren
lengow_setting.import_setting|Importeinstellungen
lengow_setting.import_simple_setting|Einfache Importeinstellungen
lengow_setting.import_advanced_setting|Erweiterte Importeinstellungen
lengow_setting.import_days_title|Synchronisieren Sie alle Bestellungen, die seit aktualisiert wurden
lengow_setting.import_days_comment|Anzahl der Tage auswählen (Max. 10 Tage)
lengow_setting.import_customer_group_title|Kundengruppe
lengow_setting.import_customer_group_comment|Kundengruppe für Lengowkunden auswählen
lengow_setting.import_default_shipping_method_title|Versandart
lengow_setting.import_default_shipping_method_comment| Versandart für importierte Bestellungen auswählen
lengow_setting.import_currency_conversion_enable_title|Umrechnung der Währung Ihrer Bestellung
lengow_setting.import_currency_conversion_enable_comment|Alle in Magento importierten Bestellungen werden in Lengow automatisch in die ausgewählte Währung umgerechnet
lengow_setting.import_report_mail_enable_title|Bei Problemen während des Importes der Bestellungen möchte ich benachrichtigt werden
lengow_setting.import_report_mail_address_title| Emailaddresse für den Email-Report
lengow_setting.import_report_mail_address_comment|Email getrennt durch ;
lengow_setting.import_ship_mp_enabled_title|Durch einen Marktplatz versandte Bestellungen importieren
lengow_setting.import_stock_ship_mp_title|Ich möchte meinen Lagerbestand verringern
lengow_setting.import_stock_ship_mp_comment| Verwenden Sie diese Option, damit Bestellungen auf Marktplätzen in Ihrem Magento-Backoffice einbezogen werden
lengow_setting.import_debug_mode_enable_title|Debug Mode aktivieren
lengow_setting.import_debug_mode_enable_comment|Dieser Modus zur Prüfung und Auftragsimulation verwenden. Diese Einstellung NUR auf Ihrem Pre-Production Server aktivieren
lengow_setting.import_cron_enable_title|Magentocron aktivieren
lengow_setting.import_cron_enable_comment|Geplante Tasks aktivieren, um Ihre Bestellungen alle 30 Minuten zu importieren
lengow_setting.import_b2b_without_tax_label|Import von B2B-Bestellungen ohne Steuern ermöglichen
lengow_setting.import_b2b_without_tax_comment|Aktivieren Sie diese Option, um B2B-Bestellungen ohne Steuer zu importieren
lengow_log.error.nb_order_imported| %{nb_order} Bestellung(en) importiert
lengow_log.error.nb_order_updated|%{nb_order} Bestellung(en) aktualisiert
lengow_log.error.nb_order_with_error|%{nb_order} Bestellung(en) mit Fehlern
lengow_log.error.no_notification|Keine neue Benachrichtigung zur Bestellung
lengow_log.error.credentials_not_valid|Konto-Nr., Access-Token oder Access-Token-Secret ungültig
lengow_log.error.no_catalog_for_store|Keine gültige Katalog-Nr. für den Shop %{store_name} (%{store_id})
lengow_log.error.rest_time_to_import|Bitte warten Sie %{rest_time} Sekunden, bevor Sie Bestellungen erneut importieren
lengow_log.error.account_id_empty| Account ID, Zugangs- oder Geheimtoken ist leer im Shop %{store_name} (%{store_id})
lengow_log.error.account_id_already_used|Account ID %{account_id} bereits im Shop %{store_name} (%{store_id}) verwendet
lengow_log.error.order_not_found|Fehler Lengow: Bestellung kann in Lengow nicht gefunden werden
lengow_log.error.no_product| Fehler Lengow: keine Produkte in der Bestellung
lengow_log.error.no_change_rate|Fehler Lengow: kein Wechselkurs für Bestellwert verfügbar
lengow_log.error.no_currency|Fehler Lengow: keine Währung in der Bestellung
lengow_log.error.currency_not_available|währung %{currency_iso} in Ihrem Shop nicht verfügbar
lengow_log.error.no_country_for_delivery_address|Fehler Lengow: Lieferaddresse enthält kein Land
lengow_log.error.no_billing_address|Fehler Lengow: keine Rechnungsaddresse in der Bestellung
lengow_log.error.no_country_for_billing_address|Fehler Lengow: Rechnungsadresse enthält das Land
lengow_log.exception.product_not_be_found|produkt %{product_id} konnte nicht gefunden werden
lengow_log.exception.product_is_a_parent|produkt %{product_id} hat eine Vorgänger-ID. Produktvariation wird benötigt
lengow_log.exception.no_connection_webservice|verbindung mit dem Lengow Webservice im Laden %{store_name} (%{store_id}) funktionierte nicht.
lengow_log.exception.error_lengow_webservice|Lengow Webservice : %{error_code} - "%{error_message}" auf Lager %{store_name} (%{store_id})
lengow_log.exception.marketplace_not_present|Lengow Fehler: %{marketplace_name} erscheint nicht in der Marketplace-Liste
lengow_log.exception.order_failed_with_quote|auf dem Angebot basierende Bestellung konnte nicht erstellt werden
lengow_log.exception.order_is_empty|bestellung konnte nicht gespeichert werden
lengow_log.exception.order_line_required|erforderliche Bestellzeile kann in der Bestellung nicht gefunden werden
lengow_log.exception.action_not_valid|aktion %{action} ist ungültig
lengow_log.exception.marketplace_action_not_present|die Marktplatzaktion %{action} ist nicht vorhanden
lengow_log.exception.store_id_require|laden-ID ist erforderlich
lengow_log.exception.marketplace_sku_require|die Marktplatz-Orderreferenz ist erforderlich
lengow_log.exception.marketplace_name_require|marktplatzname ist erforderlich
lengow_log.exception.arg_is_required|Aktion nicht ausführbar: %{arg_name} ist erforderlich
lengow_log.exception.action_not_created|Aktion kann nicht erstellt werden: %{error_message}
lengow_log.exception.action_not_created_api|Aktion kann nicht erstellt werden, da die Lengow-API nicht verfügbar ist. Bitte erneut versuchen
lengow_log.exception.action_is_too_old|bestellungsaktion ist zu alt. Bitte erneut versuchen
lengow_log.mail_report.subject_report_mail|Lengow Importfehler
lengow_log.mail_report.order|Bestellung %{marketplace_sku}
lengow_log.mail_report.no_error_in_report_mail|Keine Fehlermeldung, kontaktieren Sie den Support auf https://supportlengow.zendesk.com/hc/en-us/requests/new
lengow_log.connection.status_draft|Vorlage
lengow_log.connection.status_active|Aktiv
lengow_log.connection.catalog|Katalog %{catalog_id}
lengow_log.connection.catalog_label|%{catalog_id} - %{catalog_name} - %{nb_products} produkte - %{catalog_status}
